gene_symbol	hgnc_id	entrez_id	count
A1BG	HGNC:5	Entrez:1	0
A1BG-AS1	HGNC:37133	Entrez:503538	0
A1CF	HGNC:24086	Entrez:29974	63
A2M	HGNC:7	Entrez:2	68
A2M-AS1	HGNC:27057	Entrez:144571	0
A2ML1	HGNC:23336	Entrez:144568	205
A2ML1-AS1	HGNC:41022	Entrez:100874108	0
A2ML1-AS2	HGNC:41523	Entrez:106478979	0
A2MP1	HGNC:8	Entrez:3	0
A3GALT2	HGNC:30005	Entrez:127550	0
A4GALT	HGNC:18149	Entrez:53947	50
A4GNT	HGNC:17968	Entrez:51146	38
AAAS	HGNC:13666	Entrez:8086	60
AACS	HGNC:21298	Entrez:65985	68
AACSP1	HGNC:18226	Entrez:729522	0
AADAC	HGNC:17	Entrez:13	21
AADACL2	HGNC:24427	Entrez:344752	0
AADACL2-AS1	HGNC:50301	Entrez:101928142	0
AADACL3	HGNC:32037	Entrez:126767	44
AADACL4	HGNC:32038	Entrez:343066	40
AADACP1	HGNC:50305	Entrez:201651	0
AADAT	HGNC:17929	Entrez:51166	0
AAGAB	HGNC:25662	Entrez:79719	67
AAK1	HGNC:19679	Entrez:22848	44
AAMDC	HGNC:30205	Entrez:28971	0
AAMP	HGNC:18	Entrez:14	34
AANAT	HGNC:19	Entrez:15	34
AAR2	HGNC:15886	Entrez:25980	51
AARD	HGNC:33842	Entrez:441376	29
AARS1	HGNC:20	Entrez:16	0
AARS1P1	HGNC:49894	Entrez:106480683	0
AARS2	HGNC:21022	Entrez:57505	175
AARSD1	HGNC:28417	Entrez:80755	60
AARSD1P1	HGNC:54994	Entrez:117981788	0
AASDH	HGNC:23993	Entrez:132949	151
AASDHPPT	HGNC:14235	Entrez:60496	0
AASS	HGNC:17366	Entrez:10157	110
AATBC	HGNC:51526	Entrez:284837	0
AATF	HGNC:19235	Entrez:26574	55
AATK	HGNC:21	Entrez:9625	64
AAVS1	HGNC:22	Entrez:17	0
ABALON	HGNC:49667	Entrez:103021294	0
ABAT	HGNC:23	Entrez:18	29
ABCA1	HGNC:29	Entrez:19	161
ABCA10	HGNC:30	Entrez:10349	0
ABCA11P	HGNC:31	Entrez:79963	0
ABCA12	HGNC:14637	Entrez:26154	187
ABCA13	HGNC:14638	Entrez:154664	479
ABCA15P	HGNC:34405	Entrez:400508	0
ABCA17P	HGNC:32972	Entrez:650655	0
